"handle","title","status","queries","impr","clicks"
"6-pack-kids-pool-floats","Kids Pool Floats • 6 Pack","ARCHIVED",2,2,0
"san-pellegrino-sparkling-750ml","San Pellegrino Sparkling • 750ml Bottle","ARCHIVED",1,2,0
"balcones-rumble","Balcones Rumble • 750ml Bottle","ARCHIVED",1,2,0
"4-bottle-wine-carrier","Champagne Cooler","ARCHIVED",1,2,0
"andre-cocktails-mango-mimosa-750ml-bottle","Andre Cocktails Mango Mimosa • 750ml Bottle","ARCHIVED",2,2,0
"big-hat-big-hat-prickly-pear-paloma-4-pack-12oz","Big Hat Prickly Pear Paloma • 4 Pack 12oz","ARCHIVED",2,2,0
"birch-wood-washer-toss-game","Washer Toss Set - RENTAL","ARCHIVED",2,2,0
"giant-tic-tac-toe-game","Giant Rope Tic Tac Toe Game - RENTAL","ARCHIVED",2,2,0
"glow-lawn-darts-set","Glow Lawn Darts Set - RENTAL","ARCHIVED",2,2,0
"just-for-fun-delivery-boat-setup-fee","Just For Fun Delivery + Boat Setup Fee","ARCHIVED",2,2,0
"silver-party-on-yall-insulated-tumblers-12oz","Silver ""Party On Y'all"" Insulated Tumblers • 12oz","ARCHIVED",1,2,0
"sparkling-ice-black-cherry","Sparkling Ice Black Cherry • 17oz Bottle","ARCHIVED",2,2,0
"white-claw-black-cherry-12-pack-12oz-can","White Claw Black Cherry • 12 Pack 12oz Can","ARCHIVED",1,2,0
"cutwater-spicy-bloody-mary-4-pack","Cutwater Spicy Bloody Mary • 4 Pack 12oz","ARCHIVED",2,2,0
"spicy-rita-shaken-cocktail-kit","Spicy Rita Cocktail Kit","ARCHIVED",2,2,0
"https://partyondelivery.com/images/products/aperol-spritz-kit.png","(NOT IN DB)","NOT_IN_DB",2,2,0
"cantarito-non-alcoholic-gallon-dispenser-kit-22-drinks-per-dispenser","(NOT IN DB)","NOT_IN_DB",1,2,0
"usa-pinwheels-1","USA Pinwheel • 4pcs","ARCHIVED",2,2,0
"jalapeno-ranch-water-4-pack-12oz","(NOT IN DB)","NOT_IN_DB",1,2,0
"dr-pepper-diet-20oz-bottle","Dr Pepper Diet • 20oz Bottle","ARCHIVED",1,1,0
"artificial-orange-roses-12-pack","Artificial Orange Roses • 12 Pack","ARCHIVED",1,1,0
"cooling-towels-4-pack","Cooling Towels • 4 Pack","ARCHIVED",1,1,0
"cowboy-boot-shot-glasses","Cowboy Boot Shot Glasses","ARCHIVED",1,1,0
"stirrings-simple-syrup","(NOT IN DB)","NOT_IN_DB",1,1,0
"the-full-send-bar","The Full Send Bar","ARCHIVED",1,1,0
"otr-on-the-rocks-the-old-fashioned-cocktail-crafted-with-knob-creek-bourbon-70-750ml","On The Rocks The Old Fashioned • 375ml Bottle","ARCHIVED",1,1,0
"otr-on-the-rocks-the-jalapeno-pineapple-margarita-tres-generaciones-40-375ml","On The Rocks Jalapeno Pineapple Margarita • 375ml Bottle","ARCHIVED",1,1,0
"zilker-parks-rec-pale-ale-6pack","Zilker Parks & Rec Pale Ale 6pack","ARCHIVED",1,1,0
"treaty-oak-peach-julep-whiskey-cocktail","Treaty Oak Peach Julep Whiskey Cocktail • 750ml Bottle","ARCHIVED",1,1,0
"master-of-mixers-simple-syrup","Master of Mixers Simple Syrup • 375ml Bottle","ARCHIVED",1,1,0
"150-projector-screen","150'' Projector Screen","ARCHIVED",1,1,0
"american-flag-bunting-decoration-3x6","American Flag Bunting Decoration • 3'x6'","ARCHIVED",1,1,0
"ancho-reyes-chile-ancho-liqueur-375-ml","Ancho Reyes Chile Ancho Liqueur • 375 ml","ARCHIVED",1,1,0
"baileys-irish-cream-liqueur-the-original-34-375m","Baileys Irish Cream • 375 ml","ARCHIVED",1,1,0
"benjamins-50ml","Benjamins • 50ml Bottle","ARCHIVED",1,1,0
"buchanans-de-luxe-scotch-12yr-750ml","Buchanan's De Luxe Scotch 12yr • 750ml Bottle","ARCHIVED",1,1,0
